model_name,pipeline,training_loss,validation_loss,validation_f1,test_loss,test_f1
microsoft/deberta-base,"['lowercase', 'hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'punctuation', 'spaces']",0.5608954993575345,0.5166922745672432,{'f1': 0.7739602169981917},0.5266158970994781,{'f1': 0.7682804194799596}
microsoft/deberta-base,"['lowercase', 'remove_hyperlinks', 'remove_mentions', 'remove_hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'punctuation', 'spaces']",0.5546092536708365,0.5466146733309771,{'f1': 0.7485928705440902},0.5218952587156584,{'f1': 0.7585495283018868}
microsoft/deberta-base,"['lowercase', 'hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.5602754071964541,0.5075152339162053,{'f1': 0.7865235539654144},0.5191091382217528,{'f1': 0.7712455516014236}
microsoft/deberta-base,"['lowercase', 'remove_hyperlinks', 'remove_mentions', 'remove_hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.553211841082243,0.528141627198941,{'f1': 0.7673846153846153},0.5097360865711563,{'f1': 0.7676209853219008}
bert-base-cased,"['hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'punctuation', 'spaces']",0.46902654469730476,0.5493182225893902,{'f1': 0.7616766467065867},0.5464332005140757,{'f1': 0.7612003982363817}
bert-base-cased,"['remove_hyperlinks', 'remove_mentions', 'remove_hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'punctuation', 'spaces']",0.4635832051866465,0.5603493118798861,{'f1': 0.7462779156327544},0.5546236506315193,{'f1': 0.7564231376489163}
bert-base-cased,"['hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.45973039758262796,0.5367947371416194,{'f1': 0.776978417266187},0.531965705180409,{'f1': 0.7685702018033491}
bert-base-cased,"['remove_hyperlinks', 'remove_mentions', 'remove_hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.4562244310383332,0.547339924240625,{'f1': 0.7640179910044977},0.5410986407989203,{'f1': 0.7629958470571387}
bert-base-uncased,"['hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'punctuation', 'spaces']",0.4696137281639051,0.5315373004764639,{'f1': 0.7704770477047704},0.5422426272522319,{'f1': 0.7676336746302616}
bert-base-uncased,"['remove_hyperlinks', 'remove_mentions', 'remove_hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'punctuation', 'spaces']",0.4740135519082796,0.5498211729911066,{'f1': 0.7562557924003707},0.5432025570460041,{'f1': 0.7589743589743589}
bert-base-uncased,"['hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.4550691052428508,0.5341065759940814,{'f1': 0.754528419737664},0.5194485228922632,{'f1': 0.7716695753344969}
bert-base-uncased,"['remove_hyperlinks', 'remove_mentions', 'remove_hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.4526906243371906,0.562996232701886,{'f1': 0.7573234659266112},0.5381602334103199,{'f1': 0.7668097281831188}
microsoft/deberta-base,"['hyperlinks', 'mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.5397793708366895,0.49821972838930184,{'f1': 0.7855407047387605},0.5104690918491946,{'f1': 0.7723367697594502}
microsoft/deberta-base,"['remove_hyperlinks', 'remove_mentions', 'hashtags', 'retweet', 'repetitions', 'emojis', 'smileys', 'spaces']",0.5446192015020712,0.5245453352058256,{'f1': 0.7636363636363637},0.5053039763235685,{'f1': 0.7674825174825175}
